time,sv,ECEF,position,clock,velocity,dclock,t0
2023-04-10 00:00:00,G01,x,10653.21345,194.698765,4.243991639e-314,4.193142557425992e+228,2023-04-10
2023-04-10 00:00:00,G01,y,13452.573033,194.698765,0.0,4.193142557425992e+228,2023-04-10
2023-04-10 00:00:00,G01,z,-20700.37047,194.698765,5.6e-322,4.193142557425992e+228,2023-04-10
2023-04-10 00:00:00,G02,x,-17369.032421,-607.533323,1.0609979034e-313,9.454391066264928e+218,2023-04-10
2023-04-10 00:00:00,G02,y,-10365.052172,-607.533323,0.0,9.454391066264928e+218,2023-04-10
2023-04-10 00:00:00,G02,z,17730.870793,-607.533323,5.6e-322,9.454391066264928e+218,2023-04-10
2023-04-10 00:00:00,G03,x,12722.705212,-332.745386,4.243991639e-314,6.013470016999068e-154,2023-04-10
2023-04-10 00:00:00,G03,y,23307.047109,-332.745386,0.0,6.013470016999068e-154,2023-04-10
2023-04-10 00:00:00,G03,z,-2091.531387,-332.745386,5.63e-322,6.013470016999068e-154,2023-04-10
2023-04-10 00:00:00,G04,x,4566.221942,13.045539,1.2731974825e-313,2.9702602289277642e-260,2023-04-10
2023-04-10 00:00:00,G04,y,18156.489492,13.045539,0.0,2.9702602289277642e-260,2023-04-10
2023-04-10 00:00:00,G04,z,18807.274399,13.045539,5.63e-322,2.9702602289277642e-260,2023-04-10
2023-04-10 00:00:00,G05,x,-1114.775642,-122.795522,7.95e-322,6.013470016999068e-154,2023-04-10
2023-04-10 00:00:00,G05,y,-21102.537466,-122.795522,0.0,6.013470016999068e-154,2023-04-10
2023-04-10 00:00:00,G05,z,15845.530348,-122.795522,5.63e-322,6.013470016999068e-154,2023-04-10
2023-04-10 00:00:00,G06,x,24893.583631,586.228537,2.121995852e-314,3.999109547466096e+252,2023-04-10
2023-04-10 00:00:00,G06,y,-5551.360122,586.228537,0.0,3.999109547466096e+252,2023-04-10
2023-04-10 00:00:00,G06,z,7657.539921,586.228537,5.7e-322,3.999109547466096e+252,2023-04-10
2023-04-10 00:00:00,G07,x,23016.399995,204.863,8.487983225e-314,2.5844666164262544e+185,2023-04-10
2023-04-10 00:00:00,G07,y,7770.241677,204.863,-4.8906844939253e-311,2.5844666164262544e+185,2023-04-10
2023-04-10 00:00:00,G07,z,11744.546021,204.863,5.7e-322,2.5844666164262544e+185,2023-04-10
2023-04-10 00:00:00,G08,x,-4441.907176,-116.998109,4.243991643e-314,6.013470016991582e-154,2023-04-10
2023-04-10 00:00:00,G08,y,24083.117584,-116.998109,0.0,6.013470016991582e-154,2023-04-10
2023-04-10 00:00:00,G08,z,-9838.086145,-116.998109,5.7e-322,6.013470016991582e-154,2023-04-10
2023-04-10 00:00:00,G09,x,12934.86941,-183.301083,2.1219958404e-314,3.5025155899984935e+151,2023-04-10
2023-04-10 00:00:00,G09,y,8248.118803,-183.301083,0.0,3.5025155899984935e+151,2023-04-10
2023-04-10 00:00:00,G09,z,21608.459039,-183.301083,5.7e-322,3.5025155899984935e+151,2023-04-10
2023-04-10 00:00:00,G10,x,-17207.658575,-32.15853,4.2439916313e-314,7.87806842565301e-154,2023-04-10
